G N M I OF
1 100 100 0 21596.65
1 100 100 1 21151.08
1 100 100 2 23200.64
1 100 100 3 23091.76
1 100 100 4 26607.14
1 100 100 5 26288.09
1 100 100 6 21798.46
1 100 100 7 24221.25
1 100 100 8 24153.09
1 100 100 9 24447.5
1 100 100 10 24301.42
1 100 100 11 26573.41
1 100 100 12 23067.66
1 100 100 13 24319.11
1 100 100 14 23018.13
1 100 100 15 22721.32
1 100 100 16 23632.56
1 100 100 17 25452.87
1 100 100 18 23583.04
1 100 100 19 24597.01
1 100 100 20 26419.83
1 100 100 21 27158.72
1 100 100 22 21383.82
1 100 100 23 23161.23
1 100 100 24 23179.36
1 100 100 25 29069.36
1 100 100 26 21992.09
1 100 100 27 22656.7
1 100 100 28 24243.02
1 100 100 29 22590.61
1 100 100 30 24176.31
1 100 100 31 28883.86
1 100 100 32 26761.93
1 100 100 33 23088.35
1 100 100 34 21049.89
1 100 100 35 26275.39
1 100 100 36 22501.41
1 100 100 37 22524.14
1 100 100 38 24769.89
1 100 100 39 22895.61
1 100 100 40 26375.67
1 100 100 41 23188.97
1 100 100 42 25607.91
1 100 100 43 24015.39
1 100 100 44 22562.03
1 100 100 45 26344.86
1 100 100 46 24419.26
1 100 100 47 23338.8
1 100 100 48 25144.92
1 100 100 49 24422.95
1 100 140 0 34386
1 100 140 1 32983.76
1 100 140 2 33693.04
1 100 140 3 32899.63
1 100 140 4 34427.53
1 100 140 5 31831.61
1 100 140 6 33568.62
1 100 140 7 37388.32
1 100 140 8 32706.97
1 100 140 9 32072.34
1 100 140 10 28782.61
1 100 140 11 32481.22
1 100 140 12 32213.17
1 100 140 13 32404.52
1 100 140 14 33787.51
1 100 140 15 36647.57
1 100 140 16 31845.9
1 100 140 17 30801.15
1 100 140 18 30255.47
1 100 140 19 33188.35
1 100 140 20 33424.21
1 100 140 21 28621.89
1 100 140 22 31651.51
1 100 140 23 30915.2
1 100 140 24 33238.49
1 100 140 25 30097.09
1 100 140 26 30761.64
1 100 140 27 31630.21
1 100 140 28 36129.08
1 100 140 29 32087.83
1 100 140 30 35275.08
1 100 140 31 33964.34
1 100 140 32 34753.54
1 100 140 33 37895.6
1 100 140 34 34180.42
1 100 140 35 32288.94
1 100 140 36 33060.83
1 100 140 37 34779.62
1 100 140 38 30102.68
1 100 140 39 34431.32
1 100 140 40 34996.04
1 100 140 41 32545.95
1 100 140 42 32337.42
1 100 140 43 34992.53
1 100 140 44 32232.13
1 100 140 45 30553.1
1 100 140 46 30644.01
1 100 140 47 33216.41
1 100 140 48 38494.35
1 100 140 49 32970.32
1 100 60 0 14165.27
1 100 60 1 15002.3
1 100 60 2 13506.16
1 100 60 3 13947.44
1 100 60 4 13756.93
1 100 60 5 11194.55
1 100 60 6 11580.02
1 100 60 7 14406.73
1 100 60 8 13111.25
1 100 60 9 15747.79
1 100 60 10 13057.97
1 100 60 11 12362.4
1 100 60 12 12650.87
1 100 60 13 14788.71
1 100 60 14 11771.59
1 100 60 15 12205.26
1 100 60 16 14278.4
1 100 60 17 13718.31
1 100 60 18 13173.04
1 100 60 19 14235.51
1 100 60 20 10809.37
1 100 60 21 14399.85
1 100 60 22 12437.78
1 100 60 23 13614.37
1 100 60 24 14836.38
1 100 60 25 12698.65
1 100 60 26 14373.17
1 100 60 27 11983.3
1 100 60 28 16968.04
1 100 60 29 12502.77
1 100 60 30 13902.44
1 100 60 31 13886.86
1 100 60 32 12536.78
1 100 60 33 15821.09
1 100 60 34 15084.08
1 100 60 35 13813.29
1 100 60 36 13243.36
1 100 60 37 14812.92
1 100 60 38 16974.31
1 100 60 39 16670.15
1 100 60 40 13431.32
1 100 60 41 11955.87
1 100 60 42 13449.28
1 100 60 43 13560.12
1 100 60 44 14436.73
1 100 60 45 14665.45
1 100 60 46 13591.78
1 100 60 47 12845.32
1 100 60 48 15403.87
1 100 60 49 11825.11
1 20 12 0 556.9
1 20 12 1 416.62
1 20 12 2 504.53
1 20 12 3 444.5
1 20 12 4 529.36
1 20 12 5 594.84
1 20 12 6 460.74
1 20 12 7 553.13
1 20 12 8 460.99
1 20 12 9 385.52
1 20 12 10 480.4
1 20 12 11 467.33
1 20 12 12 326.7
1 20 12 13 415
1 20 12 14 506.41
1 20 12 15 365.65
1 20 12 16 381.9
1 20 12 17 299.37
1 20 12 18 584.49
1 20 12 19 163.55
1 20 12 20 461.16
1 20 12 21 750.4
1 20 12 22 539.18
1 20 12 23 589.73
1 20 12 24 470.52
1 20 12 25 558.74
1 20 12 26 451.58
1 20 12 27 270.37
1 20 12 28 336.25
1 20 12 29 469.89
1 20 12 30 254.4
1 20 12 31 316.66
1 20 12 32 492.42
1 20 12 33 573.94
1 20 12 34 261.52
1 20 12 35 389.18
1 20 12 36 420.36
1 20 12 37 685.1
1 20 12 38 469.75
1 20 12 39 551.65
1 20 12 40 373.05
1 20 12 41 590.6
1 20 12 42 334.52
1 20 12 43 663.84
1 20 12 44 292.45
1 20 12 45 595.51
1 20 12 46 486.83
1 20 12 47 414.61
1 20 12 48 395.08
1 20 12 49 744.89
1 20 20 0 580.6
1 20 20 1 925.38
1 20 20 2 1021.33
1 20 20 3 711.52
1 20 20 4 734.01
1 20 20 5 678.79
1 20 20 6 832.8
1 20 20 7 613.46
1 20 20 8 1056.4
1 20 20 9 621.54
1 20 20 10 647.53
1 20 20 11 438.06
1 20 20 12 813.67
1 20 20 13 961.05
1 20 20 14 817.88
1 20 20 15 845.25
1 20 20 16 840.77
1 20 20 17 734.82
1 20 20 18 627.46
1 20 20 19 860.28
1 20 20 20 707.99
1 20 20 21 1060.99
1 20 20 22 699.97
1 20 20 23 893.28
1 20 20 24 771.67
1 20 20 25 926.27
1 20 20 26 683.62
1 20 20 27 713.19
1 20 20 28 892.87
1 20 20 29 762.53
1 20 20 30 586.15
1 20 20 31 556.43
1 20 20 32 845.71
1 20 20 33 714.97
1 20 20 34 668.9
1 20 20 35 739.62
1 20 20 36 962.77
1 20 20 37 666.56
1 20 20 38 832.18
1 20 20 39 672.15
1 20 20 40 544.96
1 20 20 41 936.09
1 20 20 42 1026.29
1 20 20 43 1025.3
1 20 20 44 830.72
1 20 20 45 801.07
1 20 20 46 713.38
1 20 20 47 698.83
1 20 20 48 647.1
1 20 20 49 528.83
1 20 28 0 1120.96
1 20 28 1 1112.07
1 20 28 2 1079.3
1 20 28 3 918.78
1 20 28 4 1285.54
1 20 28 5 854.8
1 20 28 6 902.73
1 20 28 7 1271.35
1 20 28 8 997.63
1 20 28 9 1199.52
1 20 28 10 1090.08
1 20 28 11 979.69
1 20 28 12 1177.01
1 20 28 13 1097.44
1 20 28 14 1175.17
1 20 28 15 1725.34
1 20 28 16 1229.06
1 20 28 17 1455.72
1 20 28 18 1330.57
1 20 28 19 986.67
1 20 28 20 1083.29
1 20 28 21 797.57
1 20 28 22 1196.07
1 20 28 23 998.67
1 20 28 24 1205.83
1 20 28 25 1019.12
1 20 28 26 1329.86
1 20 28 27 823.76
1 20 28 28 1256.24
1 20 28 29 1385.93
1 20 28 30 1138.4
1 20 28 31 1116.88
1 20 28 32 1326.89
1 20 28 33 1079.9
1 20 28 34 1069.67
1 20 28 35 1163.54
1 20 28 36 1366.42
1 20 28 37 1645.38
1 20 28 38 1320.26
1 20 28 39 1543.87
1 20 28 40 796.65
1 20 28 41 1204.73
