G N M I Time LB
1 20 12 0 0.192121 606.370000
1 20 12 1 0.247809 574.250000
1 20 12 2 0.246652 346.470000
2 20 12 1 0.224723 6143.080000
2 20 12 0 0.262246 4222.540000
2 20 12 2 0.213116 4257.950000
1 20 20 2 0.402116 729.160000
1 20 20 1 0.469565 736.900000
1 20 20 0 0.601917 758.720000
2 20 20 0 0.575656 7922.995000
2 20 20 2 0.487801 8510.645000
2 20 20 1 0.460064 6336.150000
1 20 28 0 0.760441 1090.495000
1 20 28 1 0.804678 932.325000
1 20 28 2 0.821585 1136.275000
2 20 28 2 0.789098 11416.225000
2 20 28 0 0.840456 9372.135000
2 20 28 1 0.809138 14312.580000
1 40 24 1 2.502940 2168.875000
1 40 24 0 2.167006 2137.225000
1 40 24 2 2.210226 2110.050000
2 40 24 0 2.523562 19735.930000
2 40 24 1 2.617574 21842.955000
2 40 24 2 2.019361 20361.960000
1 40 40 2 4.553005 2454.250000
1 40 40 0 5.329238 3143.700000
1 40 40 1 4.671487 4072.750000
2 40 40 2 5.597236 37563.505000
2 40 40 1 5.804004 33258.320000
2 40 40 0 5.289721 29142.305000
1 40 56 1 14.219229 4056.620000
1 40 56 2 12.104115 4485.615000
1 40 56 0 10.663673 4987.660000
2 40 56 0 13.404269 55139.270000
2 40 56 2 14.762716 53084.355000
2 40 56 1 11.930993 41124.035000
1 80 48 2 43.601613 6705.085000
1 80 48 0 31.512949 9559.665000
1 80 48 1 52.627661 8033.670000
2 80 48 2 46.385523 80507.575000
2 80 48 1 34.931152 82989.810000
2 80 48 0 21.123190 85494.125000
1 80 80 2 198.921073 13157.950000
1 80 80 0 135.793831 10908.060000
1 80 80 1 109.189500 11486.130000
2 80 80 0 82.201468 134119.075000
2 80 80 2 85.484571 129855.190000
2 80 80 1 199.917670 126146.660000
1 80 112 0 734.202338 20336.865000
1 80 112 1 160.562892 19586.370000
1 80 112 2 199.154233 19577.645000
2 80 112 0 530.982224 190765.790000
2 80 112 1 230.019411 174271.320000
2 80 112 2 196.462662 190187.695000
1 100 60 0 84.582015 11743.880000
1 100 60 2 53.420528 12417.580000
1 100 60 1 94.255301 12655.290000
2 100 60 2 214.758112 142136.020000
2 100 60 1 67.642454 128782.360000
2 100 60 0 103.833374 125424.305000
1 100 100 2 196.572032 20340.060000
1 100 100 1 681.604223 19579.140000
1 100 100 0 263.841066 19060.150000
2 100 100 2 286.485149 221386.970000
2 100 100 0 146.547256 217418.025000
2 100 100 1 191.178207 194156.775000
