G N M I Time LB
1 100 100 0 0.072064942 16091.8496885779
1 100 100 1 0.046547986 16363.1671962779
1 100 100 2 0.040938233 16998.3436721231
1 100 140 0 0.059045391 24219.5207015852
1 100 140 1 0.065193016 25241.6003778342
1 100 140 2 0.048662698 23388.1499305447
1 100 60 0 0.028855393 9665.60531599275
1 100 60 1 0.030741413 10980.5587352236
1 100 60 2 0.034071562 10399.7761510651
1 20 12 0 0.003073865 513.280448048658
1 20 12 1 0.002311212 497.436691302848
1 20 12 2 0.002407608 311.188324919357
1 20 20 0 0.004156254 633.646262068434
1 20 20 1 0.00378308 616.633575284972
1 20 20 2 0.004056286 631.69100755855
1 20 28 0 0.004300779 943.909175870599
1 20 28 1 0.005570574 803.096227275006
1 20 28 2 0.003607225 915.515619662836
1 40 24 0 0.006747912 1699.12336616161
1 40 24 1 0.005927495 1764.79375449629
1 40 24 2 0.009622868 1810.68464916996
1 40 40 0 0.007545655 2593.79139945218
1 40 40 1 0.010647449 3494.99974525403
1 40 40 2 0.007182539 2028.5947985575
1 40 56 0 0.008849938 3993.71630514065
1 40 56 1 0.009311434 3242.14804091335
1 40 56 2 0.018778821 3894.84895567508
1 80 112 0 0.02724074 16809.3803117189
1 80 112 1 0.037748866 16408.6658524188
1 80 112 2 0.029464758 15749.5193904202
1 80 48 0 0.017767936 7965.56001250885
1 80 48 1 0.023064949 6606.6339682836
1 80 48 2 0.020921931 5498.1335856615
1 80 80 0 0.033556068 9138.93993222172
1 80 80 1 0.024399542 9454.99696843359
1 80 80 2 0.031663856 11162.3981465904
2 100 100 0 0.041908155 184247.816590385
2 100 100 1 0.045971549 165825.849080712
2 100 100 2 0.061717225 187451.887898733
2 100 140 0 0.062875581 252733.844507366
2 100 140 1 0.050975079 227087.44772051
2 100 140 2 0.047136135 256664.454216436
2 100 60 0 0.029017343 104498.711895629
2 100 60 1 0.023291503 107948.773178855
2 100 60 2 0.037307039 118158.854767222
2 20 12 0 0.003086181 3782.87686352487
2 20 12 1 0.003054151 5254.12908103656
2 20 12 2 0.003193942 3751.63151176063
2 20 20 0 0.002791038 6606.3659569253
2 20 20 1 0.004143479 5581.7541823314
2 20 20 2 0.00728926 7422.1681391647
2 20 28 0 0.004461639 7953.09113873947
2 20 28 1 0.00446145 11612.820960883
2 20 28 2 0.006025806 9383.58150150016
2 40 24 0 0.005020073 16181.6488757509
2 40 24 1 0.006496139 18193.6710774562
2 40 24 2 0.009012872 17847.8575685159
2 40 40 0 0.008282388 23988.3255592083
2 40 40 1 0.008568174 26981.8133084027
2 40 40 2 0.009014683 31523.9757196231
2 40 56 0 0.009162611 46525.0150349977
2 40 56 1 0.011971034 34051.6359574481
2 40 56 2 0.012257331 44317.7767501091
2 80 112 0 0.041948681 159961.670967808
2 80 112 1 0.04797349 147467.826710384
2 80 112 2 0.043355271 156727.262152362
2 80 48 0 0.021818017 69658.774504333
2 80 48 1 0.021529743 68552.853416977
2 80 48 2 0.027108668 66738.9500822687
2 80 80 0 0.032372711 110313.936481156
2 80 80 1 0.031122324 106997.38898206
2 80 80 2 0.022722354 105639.991821361
