G N M I OF
1 100 100 0 21879.36
1 100 100 1 21570.47
1 100 100 2 23394.23
1 100 100 3 23466.33
1 100 100 4 26908.53
1 100 100 5 26686.32
1 100 100 6 21998.35
1 100 100 7 24371.68
1 100 100 8 24488.92
1 100 100 9 24806.91
1 100 100 10 24567.5
1 100 100 11 26885.01
1 100 100 12 23481.24
1 100 100 13 24469.33
1 100 100 14 23366.76
1 100 100 15 22872.31
1 100 100 16 24044.69
1 100 100 17 25737.23
1 100 100 18 23699.45
1 100 100 19 24885.74
1 100 100 20 26673.17
1 100 100 21 27386.7
1 100 100 22 21710.89
1 100 100 23 23366.7
1 100 100 24 23412.01
1 100 100 25 29522.72
1 100 100 26 22269.54
1 100 100 27 23087.64
1 100 100 28 24494.33
1 100 100 29 23068.95
1 100 100 30 24262.2
1 100 100 31 29446.13
1 100 100 32 26943.63
1 100 100 33 23355.5
1 100 100 34 21157.66
1 100 100 35 26461.48
1 100 100 36 22698.61
1 100 100 37 22811.07
1 100 100 38 25004.32
1 100 100 39 23017.13
1 100 100 40 26757.62
1 100 100 41 23408.18
1 100 100 42 25788.48
1 100 100 43 24316.49
1 100 100 44 22795.38
1 100 100 45 26525.03
1 100 100 46 24673.26
1 100 100 47 23496.97
1 100 100 48 25322.84
1 100 100 49 24667.62
1 100 140 0 34617.99
1 100 140 1 33359.32
1 100 140 2 34177.47
1 100 140 3 33252.33
1 100 140 4 34794.35
1 100 140 5 32357.62
1 100 140 6 33840.34
1 100 140 7 37561.39
1 100 140 8 33077.82
1 100 140 9 32458.04
1 100 140 10 28998.82
1 100 140 11 32538.42
1 100 140 12 32634.53
1 100 140 13 32680.75
1 100 140 14 34113.99
1 100 140 15 37056.37
1 100 140 16 31785.65
1 100 140 17 31144.33
1 100 140 18 30509.68
1 100 140 19 33469.39
1 100 140 20 33635.22
1 100 140 21 28912.93
1 100 140 22 31972.01
1 100 140 23 31425.6
1 100 140 24 33458.53
1 100 140 25 30332.73
1 100 140 26 31081.02
1 100 140 27 31853.41
1 100 140 28 36439.79
1 100 140 29 32366.35
1 100 140 30 35639.88
1 100 140 31 34107.58
1 100 140 32 34912.98
1 100 140 33 38502.32
1 100 140 34 34444.41
1 100 140 35 32396.29
1 100 140 36 33244.73
1 100 140 37 35027.47
1 100 140 38 30316.05
1 100 140 39 34655.49
1 100 140 40 35349.15
1 100 140 41 32864.41
1 100 140 42 32800.85
1 100 140 43 35518.3
1 100 140 44 32552.91
1 100 140 45 30831.44
1 100 140 46 31208.16
1 100 140 47 33757.93
1 100 140 48 39120.82
1 100 140 49 33323.19
1 100 60 0 14503.62
1 100 60 1 15150.8
1 100 60 2 13579.57
1 100 60 3 14306.86
1 100 60 4 13884.48
1 100 60 5 11293.71
1 100 60 6 11708.44
1 100 60 7 14832.52
1 100 60 8 13264.21
1 100 60 9 15887.32
1 100 60 10 13220.43
1 100 60 11 12514.57
1 100 60 12 12835.61
1 100 60 13 14920.61
1 100 60 14 11971.15
1 100 60 15 12369.56
1 100 60 16 14450.04
1 100 60 17 14043.37
1 100 60 18 13376.01
1 100 60 19 14441.96
1 100 60 20 10917.37
1 100 60 21 14492.79
1 100 60 22 12566.57
1 100 60 23 13859.55
1 100 60 24 15028.51
1 100 60 25 13074.15
1 100 60 26 14443.75
1 100 60 27 12185.85
1 100 60 28 17088.53
1 100 60 29 12581.35
1 100 60 30 14112.23
1 100 60 31 14111.15
1 100 60 32 12726.87
1 100 60 33 16169.32
1 100 60 34 15212.03
1 100 60 35 13884.74
1 100 60 36 13363.73
1 100 60 37 14980.01
1 100 60 38 17205.25
1 100 60 39 16862.62
1 100 60 40 13604.89
1 100 60 41 12128.67
1 100 60 42 13563.97
1 100 60 43 13615.92
1 100 60 44 14571.44
1 100 60 45 14797.4
1 100 60 46 13713.52
1 100 60 47 12922.04
1 100 60 48 15447.97
1 100 60 49 11954.06
1 20 12 0 546.55
1 20 12 1 415.58
1 20 12 2 497.9
1 20 12 3 450.11
1 20 12 4 525.59
1 20 12 5 600
1 20 12 6 463.49
1 20 12 7 553.85
1 20 12 8 456.81
1 20 12 9 391.42
1 20 12 10 480.4
1 20 12 11 452.2
1 20 12 12 326.7
1 20 12 13 415
1 20 12 14 488.82
1 20 12 15 361.74
1 20 12 16 386.77
1 20 12 17 291.85
1 20 12 18 602.27
1 20 12 19 164.57
1 20 12 20 484.38
1 20 12 21 753.1
1 20 12 22 545.62
1 20 12 23 595.99
1 20 12 24 481.25
1 20 12 25 558.74
1 20 12 26 454.26
1 20 12 27 264.69
1 20 12 28 331.58
1 20 12 29 472.08
1 20 12 30 255.99
1 20 12 31 320.19
1 20 12 32 492.42
1 20 12 33 577.4
1 20 12 34 262.19
1 20 12 35 389.63
1 20 12 36 421.8
1 20 12 37 699.79
1 20 12 38 474.75
1 20 12 39 561.87
1 20 12 40 372.73
1 20 12 41 597.75
1 20 12 42 339.85
1 20 12 43 665.33
1 20 12 44 291.54
1 20 12 45 575.59
1 20 12 46 490.79
1 20 12 47 422.17
1 20 12 48 398.15
1 20 12 49 749.02
1 20 20 0 586.06
1 20 20 1 925.38
1 20 20 2 1028.24
1 20 20 3 717.7
1 20 20 4 734.12
1 20 20 5 683.73
1 20 20 6 814.69
1 20 20 7 613.46
1 20 20 8 1086.71
1 20 20 9 633.27
1 20 20 10 647.46
1 20 20 11 445.58
1 20 20 12 800.47
1 20 20 13 967.33
1 20 20 14 841.86
1 20 20 15 829.09
1 20 20 16 849.85
1 20 20 17 744.5
1 20 20 18 626.8
1 20 20 19 863
1 20 20 20 718.81
1 20 20 21 1049.61
1 20 20 22 718.69
1 20 20 23 887.18
1 20 20 24 774.42
1 20 20 25 944.79
1 20 20 26 671.72
1 20 20 27 725.84
1 20 20 28 919.73
1 20 20 29 762.62
1 20 20 30 598.57
1 20 20 31 560.87
1 20 20 32 853.49
1 20 20 33 724.13
1 20 20 34 680.81
1 20 20 35 745.73
1 20 20 36 985.07
1 20 20 37 682.47
1 20 20 38 823
1 20 20 39 676.49
1 20 20 40 545.23
1 20 20 41 908.62
1 20 20 42 1033.18
1 20 20 43 1025.3
1 20 20 44 816.31
1 20 20 45 804.59
1 20 20 46 713.18
1 20 20 47 705.35
1 20 20 48 648.26
1 20 20 49 533.72
1 20 28 0 1125.94
1 20 28 1 1117.8
1 20 28 2 1108.02
1 20 28 3 900.65
1 20 28 4 1306.02
1 20 28 5 874.08
1 20 28 6 905.04
1 20 28 7 1284.09
1 20 28 8 1024.9
1 20 28 9 1192.77
1 20 28 10 1093.04
1 20 28 11 934.86
1 20 28 12 1173.11
1 20 28 13 1091.5
1 20 28 14 1199.53
