G N M I OF
1 100 100 0 21598.3
1 100 100 1 21154.44
1 100 100 2 23205.26
1 100 100 3 23093.5
1 100 100 4 26607.24
1 100 100 5 26287.08
1 100 100 6 21798.32
1 100 100 7 24221.25
1 100 100 8 24158.89
1 100 100 9 24446.34
1 100 100 10 24301.18
1 100 100 11 26572.77
1 100 100 12 23067.66
1 100 100 13 24319.11
1 100 100 14 23018.3
1 100 100 15 22721.39
1 100 100 16 23632.56
1 100 100 17 25452.87
1 100 100 18 23583.04
1 100 100 19 24596.8
1 100 100 20 26419.57
1 100 100 21 27158.54
1 100 100 22 21381.49
1 100 100 23 23161.23
1 100 100 24 23178.64
1 100 100 25 29068.38
1 100 100 26 21990.71
1 100 100 27 22656.7
1 100 100 28 24243.39
1 100 100 29 22591.3
1 100 100 30 24176.95
1 100 100 31 28882.26
1 100 100 32 26761.93
1 100 100 33 23088.66
1 100 100 34 21049.86
1 100 100 35 26275.39
1 100 100 36 22501.46
1 100 100 37 22524.96
1 100 100 38 24769.89
1 100 100 39 22897.02
1 100 100 40 26376.47
1 100 100 41 23188.97
1 100 100 42 25607.91
1 100 100 43 24014.99
1 100 100 44 22561.43
1 100 100 45 26345.51
1 100 100 46 24418.27
1 100 100 47 23338.8
1 100 100 48 25145.7
1 100 100 49 24420.74
1 100 140 0 34386.19
1 100 140 1 32984.11
1 100 140 2 33693.04
1 100 140 3 32899.52
1 100 140 4 34427.53
1 100 140 5 31835.78
1 100 140 6 33568.84
1 100 140 7 37387.92
1 100 140 8 32706.89
1 100 140 9 32072.47
1 100 140 10 28783.09
1 100 140 11 32482.5
1 100 140 12 32213.17
1 100 140 13 32404.48
1 100 140 14 33788.21
1 100 140 15 36647.57
1 100 140 16 31844.06
1 100 140 17 30801.15
1 100 140 18 30254.77
1 100 140 19 33188.2
1 100 140 20 33415.84
1 100 140 21 28620.49
1 100 140 22 31652.71
1 100 140 23 30915.2
1 100 140 24 33238.49
1 100 140 25 30099.04
1 100 140 26 30761.64
1 100 140 27 31632.73
1 100 140 28 36129.03
1 100 140 29 32087.11
1 100 140 30 35274.66
1 100 140 31 33957.42
1 100 140 32 34753.54
1 100 140 33 37895.6
1 100 140 34 34185.19
1 100 140 35 32286.63
1 100 140 36 33061.63
1 100 140 37 34779.49
1 100 140 38 30103
1 100 140 39 34427.8
1 100 140 40 34995
1 100 140 41 32549.14
1 100 140 42 32336.22
1 100 140 43 34989.81
1 100 140 44 32234.82
1 100 140 45 30553.53
1 100 140 46 30644.59
1 100 140 47 33216.41
1 100 140 48 38494.42
1 100 140 49 32969.72
1 100 60 0 14165.91
1 100 60 1 15002.3
1 100 60 2 13508.91
1 100 60 3 13947.87
1 100 60 4 13758.81
1 100 60 5 11193.8
1 100 60 6 11579.81
1 100 60 7 14409.01
1 100 60 8 13108.29
1 100 60 9 15750.65
1 100 60 10 13066.7
1 100 60 11 12361.16
1 100 60 12 12651.77
1 100 60 13 14790.17
1 100 60 14 11771.63
1 100 60 15 12207.66
1 100 60 16 14277.14
1 100 60 17 13721.37
1 100 60 18 13173.04
1 100 60 19 14236.41
1 100 60 20 10809.37
1 100 60 21 14398.89
1 100 60 22 12437.86
1 100 60 23 13614.47
1 100 60 24 14836.38
1 100 60 25 12699.69
1 100 60 26 14373.11
1 100 60 27 11986.38
1 100 60 28 16971.16
1 100 60 29 12502.77
1 100 60 30 13902.03
1 100 60 31 13891.06
1 100 60 32 12536.54
1 100 60 33 15821.81
1 100 60 34 15082.01
1 100 60 35 13813.29
1 100 60 36 13245.98
1 100 60 37 14812.92
1 100 60 38 16975.91
1 100 60 39 16670.15
1 100 60 40 13431.32
1 100 60 41 11955.87
1 100 60 42 13449.28
1 100 60 43 13557.92
1 100 60 44 14438.12
1 100 60 45 14665.69
1 100 60 46 13593.99
1 100 60 47 12846.12
1 100 60 48 15403.87
1 100 60 49 11828.53
1 20 12 0 556.9
1 20 12 1 416.62
1 20 12 2 504.53
1 20 12 3 444.5
1 20 12 4 531.83
1 20 12 5 594
1 20 12 6 460.74
1 20 12 7 554.9
1 20 12 8 460.99
1 20 12 9 385.7
1 20 12 10 480.76
1 20 12 11 467.33
1 20 12 12 333.45
1 20 12 13 420.54
1 20 12 14 506.41
1 20 12 15 365.65
1 20 12 16 386.68
1 20 12 17 299.58
1 20 12 18 585.45
1 20 12 19 163.55
1 20 12 20 461.16
