G N M I OF
1 100 100 0 21967.81
1 100 100 1 21542.94
1 100 100 2 23540.12
1 100 100 3 23277.3
1 100 100 4 26714.06
1 100 100 5 26504.2
1 100 100 6 21965.96
1 100 100 7 24406.15
1 100 100 8 24433
1 100 100 9 24533.25
1 100 100 10 24435.71
1 100 100 11 26947.77
1 100 100 12 23333.54
1 100 100 13 24650.26
1 100 100 14 23359.33
1 100 100 15 22994.24
1 100 100 16 23909.06
1 100 100 17 25576.38
1 100 100 18 23710.91
1 100 100 19 24768.6
1 100 100 20 26659.44
1 100 100 21 27257.29
1 100 100 22 21548.19
1 100 100 23 23499.88
1 100 100 24 23416.75
1 100 100 25 29290.48
1 100 100 26 22289.46
1 100 100 27 22890.5
1 100 100 28 24395.8
1 100 100 29 22936.24
1 100 100 30 24277.78
1 100 100 31 29254.26
1 100 100 32 27406.9
1 100 100 33 23316.17
1 100 100 34 21197.41
1 100 100 35 26555.07
1 100 100 36 22642.49
1 100 100 37 22715.98
1 100 100 38 24883.16
1 100 100 39 23149.79
1 100 100 40 26657.37
1 100 100 41 23308.51
1 100 100 42 25918.4
1 100 100 43 24501.63
1 100 100 44 22685.68
1 100 100 45 26473.7
1 100 100 46 24777.87
1 100 100 47 23690.46
1 100 100 48 25666.29
1 100 100 49 24765.03
1 100 140 0 34740
1 100 140 1 33818.59
1 100 140 2 34160.53
1 100 140 3 32885.68
1 100 140 4 34767.7
1 100 140 5 32264.19
1 100 140 6 33836.85
1 100 140 7 37604.36
1 100 140 8 32969.86
1 100 140 9 32365.21
1 100 140 10 28888.17
1 100 140 11 32798.14
1 100 140 12 32329.55
1 100 140 13 33078.54
1 100 140 14 34045.28
1 100 140 15 37097.65
1 100 140 16 31936.18
1 100 140 17 31017.27
1 100 140 18 30594.69
1 100 140 19 33471.23
1 100 140 20 33719.83
1 100 140 21 28911.83
1 100 140 22 31850.57
1 100 140 23 31448.83
1 100 140 24 33535.05
1 100 140 25 30416.49
1 100 140 26 31106.37
1 100 140 27 31718.42
1 100 140 28 36695.06
1 100 140 29 32309.1
1 100 140 30 35530.33
1 100 140 31 34022.37
1 100 140 32 34835.77
1 100 140 33 38129.96
1 100 140 34 34483.45
1 100 140 35 32497.54
1 100 140 36 33321.05
1 100 140 37 35072.56
1 100 140 38 30477.95
1 100 140 39 34710.53
1 100 140 40 35139.2
1 100 140 41 32791.44
1 100 140 42 32610.92
1 100 140 43 35249.09
1 100 140 44 32579.69
1 100 140 45 30747.73
1 100 140 46 30827.82
1 100 140 47 33577.79
1 100 140 48 39020.21
1 100 140 49 33527.23
1 100 60 0 14362.42
1 100 60 1 15132.11
1 100 60 2 13755.73
1 100 60 3 14052.87
1 100 60 4 13948.45
1 100 60 5 11509.44
1 100 60 6 11615.88
1 100 60 7 14562.85
1 100 60 8 13212.07
1 100 60 9 15816.55
1 100 60 10 13122.61
1 100 60 11 12494.03
1 100 60 12 12828.01
1 100 60 13 14976.94
1 100 60 14 11881.39
1 100 60 15 12309.93
1 100 60 16 14585.41
1 100 60 17 13903.65
1 100 60 18 13286.06
1 100 60 19 14296.46
1 100 60 20 10911.62
1 100 60 21 14431.25
1 100 60 22 12572.75
1 100 60 23 13776.55
1 100 60 24 14885.12
1 100 60 25 12833.96
1 100 60 26 14519.44
1 100 60 27 12157.82
1 100 60 28 17166.98
1 100 60 29 12653.83
1 100 60 30 14040.17
1 100 60 31 14022.44
1 100 60 32 12593.95
1 100 60 33 15964.61
1 100 60 34 15251.91
1 100 60 35 13895.47
1 100 60 36 13389.88
1 100 60 37 14943.54
1 100 60 38 17152.03
1 100 60 39 16783.93
1 100 60 40 13624.57
1 100 60 41 12102.55
1 100 60 42 13546.96
1 100 60 43 13729.76
1 100 60 44 14514.34
1 100 60 45 14767.82
1 100 60 46 13763.74
1 100 60 47 12972.26
1 100 60 48 15546.15
1 100 60 49 11932.04
1 20 12 0 573.14
1 20 12 1 416.62
1 20 12 2 516.75
1 20 12 3 453.93
1 20 12 4 531.83
1 20 12 5 594
1 20 12 6 477.26
1 20 12 7 560.47
1 20 12 8 460.86
1 20 12 9 387.2
1 20 12 10 486.88
1 20 12 11 478.77
1 20 12 12 336.73
1 20 12 13 415
1 20 12 14 498.3
1 20 12 15 367.01
1 20 12 16 401.35
1 20 12 17 308.75
1 20 12 18 594.02
1 20 12 19 163.73
1 20 12 20 475.48
1 20 12 21 761.99
1 20 12 22 546.08
1 20 12 23 589.73
1 20 12 24 481.96
1 20 12 25 581.66
1 20 12 26 467.03
1 20 12 27 272.86
1 20 12 28 358.07
1 20 12 29 470.93
1 20 12 30 265.2
1 20 12 31 317.03
1 20 12 32 500.95
1 20 12 33 571.14
1 20 12 34 262.55
1 20 12 35 392.48
1 20 12 36 425.95
1 20 12 37 688.15
1 20 12 38 486.69
1 20 12 39 564.06
1 20 12 40 379.64
1 20 12 41 592.04
1 20 12 42 340.01
1 20 12 43 668.76
1 20 12 44 309.46
1 20 12 45 600.76
1 20 12 46 516.69
1 20 12 47 417.29
1 20 12 48 395.08
1 20 12 49 751.99
1 20 20 0 598.93
1 20 20 1 937.61
1 20 20 2 1030.52
1 20 20 3 745.5
1 20 20 4 742.67
1 20 20 5 696.88
1 20 20 6 807.79
1 20 20 7 625.42
1 20 20 8 1092.99
1 20 20 9 645.29
1 20 20 10 656.13
1 20 20 11 451.01
1 20 20 12 811.2
1 20 20 13 970.69
1 20 20 14 854.66
1 20 20 15 866.96
1 20 20 16 837.46
1 20 20 17 753.48
1 20 20 18 652.4
1 20 20 19 890.81
1 20 20 20 704.68
1 20 20 21 1157.44
1 20 20 22 711.33
1 20 20 23 931.74
1 20 20 24 812.15
1 20 20 25 943.69
1 20 20 26 691.82
1 20 20 27 739.25
1 20 20 28 892.55
1 20 20 29 792.82
1 20 20 30 586.82
1 20 20 31 565.06
1 20 20 32 854.75
1 20 20 33 738.73
1 20 20 34 702.04
1 20 20 35 764.63
1 20 20 36 967.85
1 20 20 37 681.33
1 20 20 38 851.49
1 20 20 39 694.31
1 20 20 40 544.36
1 20 20 41 940.89
1 20 20 42 1018.82
1 20 20 43 1037.89
1 20 20 44 844.99
1 20 20 45 804.53
1 20 20 46 740.47
1 20 20 47 702.83
1 20 20 48 644.99
1 20 20 49 542.75
1 20 28 0 1171.22
1 20 28 1 1154.64
1 20 28 2 1096.49
