G N M I OF
1 100 100 0 22142.59
1 100 100 1 21674.25
1 100 100 2 23647.79
1 100 100 3 23446.52
1 100 100 4 26848.72
1 100 100 5 26865.33
1 100 100 6 22257.5
1 100 100 7 24610.19
1 100 100 8 24621.39
1 100 100 9 24805.07
1 100 100 10 24627.57
1 100 100 11 27295.71
1 100 100 12 23538.33
1 100 100 13 24799.48
1 100 100 14 23488.43
1 100 100 15 23134.74
1 100 100 16 24142.98
1 100 100 17 25755.71
1 100 100 18 23982.81
1 100 100 19 25053.01
1 100 100 20 26863.03
1 100 100 21 27482.87
1 100 100 22 21715.83
1 100 100 23 23667.88
1 100 100 24 23523.6
1 100 100 25 29498.78
1 100 100 26 22456.03
1 100 100 27 23062.57
1 100 100 28 24469.63
1 100 100 29 23097.97
1 100 100 30 24490.92
1 100 100 31 29443.59
1 100 100 32 27544.97
1 100 100 33 23415.86
1 100 100 34 21324.68
1 100 100 35 26824.53
1 100 100 36 22897.01
1 100 100 37 22862.66
1 100 100 38 25054.41
1 100 100 39 23366.64
1 100 100 40 26973.84
1 100 100 41 23501.07
1 100 100 42 26007.11
1 100 100 43 24638.87
1 100 100 44 22880.07
1 100 100 45 26713.37
1 100 100 46 24945.51
1 100 100 47 23905.75
1 100 100 48 25775.91
1 100 100 49 24990.09
1 100 140 0 35127.27
1 100 140 1 34134.18
1 100 140 2 34563.55
1 100 140 3 33240.67
1 100 140 4 35059.33
1 100 140 5 32476.92
1 100 140 6 34055.39
1 100 140 7 38012.56
1 100 140 8 33264.86
1 100 140 9 32782.51
1 100 140 10 29213.86
1 100 140 11 33013.59
1 100 140 12 32724.57
1 100 140 13 33222.21
1 100 140 14 34371.24
1 100 140 15 37370.21
1 100 140 16 32295.92
1 100 140 17 31254.45
1 100 140 18 30885.36
1 100 140 19 34020.42
1 100 140 20 33953.51
1 100 140 21 29175.46
1 100 140 22 32166.46
1 100 140 23 31619.78
1 100 140 24 33776.69
1 100 140 25 30726.99
1 100 140 26 31315.61
1 100 140 27 31933.28
1 100 140 28 36956.31
1 100 140 29 32686.18
1 100 140 30 35813.03
1 100 140 31 34371.84
1 100 140 32 35214.98
1 100 140 33 38432.58
1 100 140 34 34882.23
1 100 140 35 32848.37
1 100 140 36 33610.47
1 100 140 37 35486.42
1 100 140 38 30764.6
1 100 140 39 34920.27
1 100 140 40 35638.77
1 100 140 41 33162.09
1 100 140 42 32813.27
1 100 140 43 35548.53
1 100 140 44 32979.11
1 100 140 45 31037.62
1 100 140 46 31408.5
1 100 140 47 34043.95
1 100 140 48 39427.59
1 100 140 49 33857.69
1 100 60 0 14441.91
1 100 60 1 15216.28
1 100 60 2 13842.86
1 100 60 3 14133.09
1 100 60 4 14004.22
1 100 60 5 11531.14
1 100 60 6 11661.05
1 100 60 7 14687.44
1 100 60 8 13338.69
1 100 60 9 15903.47
1 100 60 10 13198.15
1 100 60 11 12579.36
1 100 60 12 12937.93
1 100 60 13 15078.26
1 100 60 14 11908.99
1 100 60 15 12344.6
1 100 60 16 14670.34
1 100 60 17 14001.51
1 100 60 18 13391.92
1 100 60 19 14377.66
1 100 60 20 10955.15
1 100 60 21 14496.62
1 100 60 22 12607.23
1 100 60 23 13844.69
1 100 60 24 15045.64
1 100 60 25 12901.69
1 100 60 26 14547.49
1 100 60 27 12198.62
1 100 60 28 17257.2
1 100 60 29 12711.27
1 100 60 30 14119.48
1 100 60 31 14072.89
1 100 60 32 12697.63
1 100 60 33 16027.95
1 100 60 34 15427.69
1 100 60 35 13937.2
1 100 60 36 13485.98
1 100 60 37 15051.93
1 100 60 38 17269.59
1 100 60 39 16875.8
1 100 60 40 13709.11
1 100 60 41 12166.67
1 100 60 42 13625.86
1 100 60 43 13831.56
1 100 60 44 14571.36
1 100 60 45 14867.99
1 100 60 46 13827.27
1 100 60 47 13008.86
1 100 60 48 15563.27
1 100 60 49 11987.82
1 20 12 0 581.99
1 20 12 1 416.62
1 20 12 2 516.75
1 20 12 3 462.69
1 20 12 4 532.23
1 20 12 5 602.76
1 20 12 6 485.66
1 20 12 7 560.61
1 20 12 8 462.21
1 20 12 9 393.32
1 20 12 10 487.22
1 20 12 11 479.24
1 20 12 12 346.61
1 20 12 13 430.46
1 20 12 14 516.56
1 20 12 15 384.67
1 20 12 16 406.68
1 20 12 17 311.94
1 20 12 18 599.81
