G N M I UB
1 100 100 0 22064.77
1 100 100 1 22615.35
1 100 100 2 23614.27
1 100 140 0 32497.13
1 100 140 1 35628.75
1 100 140 2 33109.25
1 100 60 0 13084.3
1 100 60 1 13937.63
1 100 60 2 14018
1 20 12 0 606.37
1 20 12 1 577.48
1 20 12 2 346.47
1 20 20 0 758.72
1 20 20 1 773.9
1 20 20 2 775.44
1 20 28 0 1121.99
1 20 28 1 960.97
1 20 28 2 1218.85
1 40 24 0 2291.63
1 40 24 1 2381.39
1 40 24 2 2143.4
1 40 40 0 3474.96
1 40 40 1 4296.74
1 40 40 2 2658.13
1 40 56 0 5729.75
1 40 56 1 4540.49
1 40 56 2 4704.49
1 80 112 0 23896.56
1 80 112 1 22797.04
1 80 112 2 23914.13
1 80 48 0 10668.53
1 80 48 1 8888.19
1 80 48 2 7676.09
1 80 80 0 12084.58
1 80 80 1 13453.46
1 80 80 2 14310.83
2 100 100 0 243155.78
2 100 100 1 221982.35
2 100 100 2 256135.68
2 100 140 0 365867.4
2 100 140 1 322989.54
2 100 140 2 356439.72
2 100 60 0 142606.51
2 100 60 1 143825.44
2 100 60 2 162031.56
2 20 12 0 4254.42
2 20 12 1 6143.08
2 20 12 2 4267.77
2 20 20 0 8113.82
2 20 20 1 6616.54
2 20 20 2 8649.36
2 20 28 0 9545.84
2 20 28 1 14944.27
2 20 28 2 12219.13
2 40 24 0 20600.71
2 40 24 1 23494.63
2 40 24 2 20827.05
2 40 40 0 31446.92
2 40 40 1 37802.74
2 40 40 2 39838.73
2 40 56 0 60798.14
2 40 56 1 44019.23
2 40 56 2 58379.83
2 80 112 0 220175.44
2 80 112 1 201457.83
2 80 112 2 223798.43
2 80 48 0 98593.7
2 80 48 1 89988.25
2 80 48 2 88717.85
2 80 80 0 153284.32
2 80 80 1 138761.78
2 80 80 2 156772.01
